Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ),Cq Mean
F06,FAM,PfVarATS,Unkn,5479,NaN,NaN,0
F07,FAM,PfVarATS,Unkn,5480,NaN,NaN,0
F10,FAM,PfVarATS,Unkn,5482,38.05930676,NaN,38.05930676
F11,FAM,PfVarATS,Unkn,5483,NaN,NaN,0
F12,FAM,PfVarATS,Unkn,5484,NaN,NaN,0
G01,FAM,PfVarATS,Unkn,5485,NaN,NaN,0
G02,FAM,PfVarATS,Unkn,5486,NaN,NaN,0
G03,FAM,PfVarATS,Unkn,5487,NaN,NaN,0
G04,FAM,PfVarATS,Unkn,5488,NaN,NaN,0
G05,FAM,PfVarATS,Unkn,5489,NaN,NaN,0
G06,FAM,PfVarATS,Unkn,5490,NaN,NaN,0
G07,FAM,PfVarATS,Unkn,5491,NaN,NaN,0
G08,FAM,PfVarATS,Unkn,5492,NaN,NaN,0
G09,FAM,PfVarATS,Unkn,5493,43.9043623,NaN,43.9043623
G10,FAM,PfVarATS,Unkn,5494,NaN,NaN,0
G11,FAM,PfVarATS,Unkn,5495,NaN,NaN,0
H01,FAM,PfVarATS,Unkn,5497,NaN,NaN,0
H02,FAM,PfVarATS,Unkn,5498,39.10145586,NaN,39.10145586
H03,FAM,PfVarATS,Unkn,5499,NaN,NaN,0
H04,FAM,PfVarATS,Unkn,5500,NaN,NaN,0
H05,FAM,PfVarATS,Unkn,5501,NaN,NaN,0
H06,FAM,PfVarATS,Unkn,5502,NaN,NaN,0
H07,FAM,PfVarATS,Unkn,5503,NaN,NaN,0
A01,FAM,PfVarATS,Unkn,1297,37.51083268,NaN,37.51083268
A02,FAM,PfVarATS,Unkn,1298,NaN,NaN,0
A03,FAM,PfVarATS,Unkn,1299,37.88607254,NaN,37.88607254
A04,FAM,PfVarATS,Unkn,1300,NaN,NaN,0
A06,FAM,PfVarATS,Unkn,1302,NaN,NaN,0
A07,FAM,PfVarATS,Unkn,1303,NaN,NaN,0
A08,FAM,PfVarATS,Unkn,1304,NaN,NaN,0
A09,FAM,PfVarATS,Unkn,1305,37.06637443,NaN,37.06637443
A10,FAM,PfVarATS,Unkn,1306,NaN,NaN,0
A11,FAM,PfVarATS,Unkn,1307,37.06955504,NaN,37.06955504
B01,FAM,PfVarATS,Unkn,1309,NaN,NaN,0
B02,FAM,PfVarATS,Unkn,1310,NaN,NaN,0
B03,FAM,PfVarATS,Unkn,1311,NaN,NaN,0
B06,FAM,PfVarATS,Unkn,1314,NaN,NaN,0
B07,FAM,PfVarATS,Unkn,1315,NaN,NaN,0
B08,FAM,PfVarATS,Unkn,1316,36.65693834,NaN,36.65693834
B09,FAM,PfVarATS,Unkn,1337,NaN,NaN,0
B10,FAM,PfVarATS,Unkn,1338,NaN,NaN,0
B11,FAM,PfVarATS,Unkn,1339,NaN,NaN,0
B12,FAM,PfVarATS,Unkn,1340,NaN,NaN,0
C01,FAM,PfVarATS,Unkn,1341,36.44423073,NaN,36.44423073
C02,FAM,PfVarATS,Unkn,1342,36.32987467,NaN,36.32987467
C03,FAM,PfVarATS,Unkn,1343,NaN,NaN,0
C05,FAM,PfVarATS,Unkn,1345,36.5154817,NaN,36.5154817
C06,FAM,PfVarATS,Unkn,1346,NaN,NaN,0
C07,FAM,PfVarATS,Unkn,1357,NaN,NaN,0
C08,FAM,PfVarATS,Unkn,1358,NaN,NaN,0
C09,FAM,PfVarATS,Unkn,1359,37.5749578,NaN,37.5749578
C10,FAM,PfVarATS,Unkn,1360,NaN,NaN,0
C11,FAM,PfVarATS,Unkn,1361,NaN,NaN,0
C12,FAM,PfVarATS,Unkn,1362,36.64905868,NaN,36.64905868
D02,FAM,PfVarATS,Unkn,1364,NaN,NaN,0
D04,FAM,PfVarATS,Unkn,1366,36.38840635,NaN,36.38840635
D05,FAM,PfVarATS,Unkn,1367,36.04332427,NaN,36.04332427
D06,FAM,PfVarATS,Unkn,1368,36.49815536,NaN,36.49815536
D08,FAM,PfVarATS,Unkn,1370,37.45920414,NaN,37.45920414
D09,FAM,PfVarATS,Unkn,1371,36.05767641,NaN,36.05767641
D10,FAM,PfVarATS,Unkn,1377,NaN,NaN,0
D11,FAM,PfVarATS,Unkn,1378,NaN,NaN,0
D12,FAM,PfVarATS,Unkn,1379,36.32446604,NaN,36.32446604
